Treated,Untreated,Naming Convention,Condition,Comparison
33_ICN,30_ICN,condition_33_ICN_vs_30_ICN.txt,condition_33_ICN_vs_30_ICN,Temperatures (Site Specific)
36_ICN,30_ICN,condition_36_ICN_vs_30_ICN.txt,condition_36_ICN_vs_30_ICN,Temperatures (Site Specific)
36_ICN,33_ICN,condition_36_ICN_vs_33_ICN.txt,condition_36_ICN_vs_33_ICN,Temperatures (Site Specific)
33_AF,30_AF,condition_33_AF_vs_30_AF.txt,condition_33_AF_vs_30_AF,Temperatures (Site Specific)
36_AF,30_AF,condition_36_AF_vs_30_AF.txt,condition_36_AF_vs_30_AF,Temperatures (Site Specific)
36_AF,33_AF,condition_36_AF_vs_33_AF.txt,condition_36_AF_vs_33_AF,Temperatures (Site Specific)
33_Exposed,30_Exposed,condition_33_Exposed_vs_30_Exposed.txt,condition_33_Exposed_vs_30_Exposed,Temperatures (Site Specific)
36_Exposed,30_Exposed,condition_36_Exposed_vs_30_Exposed.txt,condition_36_Exposed_vs_30_Exposed,Temperatures (Site Specific)
36_Exposed,33_Exposed,condition_36_Exposed_vs_33_Exposed.txt,condition_36_Exposed_vs_33_Exposed,Temperatures (Site Specific)
33_Protected,30_Protected,condition_33_Protected_vs_30_Protected.txt,condition_33_Protected_vs_30_Protected,Temperatures (Site Specific)
36_Protected,30_Protected,condition_36_Protected_vs_30_Protected.txt,condition_36_Protected_vs_30_Protected,Temperatures (Site Specific)
36_Protected,33_Protected,condition_36_Protected_vs_33_Protected.txt,condition_36_Protected_vs_33_Protected,Temperatures (Site Specific)
30_AF,30_ICN,condition_30_AF_vs_30_ICN.txt,condition_30_AF_vs_30_ICN,Sites (Temperature Specific)
30_Exposed,30_ICN,condition_30_Exposed_vs_30_ICN.txt,condition_30_Exposed_vs_30_ICN,Sites (Temperature Specific)
30_Protected,30_ICN,condition_30_Protected_vs_30_ICN.txt,condition_30_Protected_vs_30_ICN,Sites (Temperature Specific)
30_Exposed,30_AF,condition_30_Exposed_vs_30_AF.txt,condition_30_Exposed_vs_30_AF,Sites (Temperature Specific)
30_Protected,30_AF,condition_30_Protected_vs_30_AF.txt,condition_30_Protected_vs_30_AF,Sites (Temperature Specific)
30_Protected,30_Exposed,condition_30_Protected_vs_30_Exposed.txt,condition_30_Protected_vs_30_Exposed,Sites (Temperature Specific)
33_AF,33_ICN,condition_33_AF_vs_33_ICN.txt,condition_33_AF_vs_33_ICN,Sites (Temperature Specific)
33_Exposed,33_ICN,condition_33_Exposed_vs_33_ICN.txt,condition_33_Exposed_vs_33_ICN,Sites (Temperature Specific)
33_Protected,33_ICN,condition_33_Protected_vs_33_ICN.txt,condition_33_Protected_vs_33_ICN,Sites (Temperature Specific)
33_Exposed,33_AF,condition_33_Exposed_vs_33_AF.txt,condition_33_Exposed_vs_33_AF,Sites (Temperature Specific)
33_Protected,33_AF,condition_33_Protected_vs_33_AF.txt,condition_33_Protected_vs_33_AF,Sites (Temperature Specific)
33_Protected,33_Exposed,condition_33_Protected_vs_33_Exposed.txt,condition_33_Protected_vs_33_Exposed,Sites (Temperature Specific)
36_AF,36_ICN,condition_36_AF_vs_36_ICN.txt,condition_36_AF_vs_36_ICN,Sites (Temperature Specific)
36_Exposed,36_ICN,condition_36_Exposed_vs_36_ICN.txt,condition_36_Exposed_vs_36_ICN,Sites (Temperature Specific)
36_Protected,36_ICN,condition_36_Protected_vs_36_ICN.txt,condition_36_Protected_vs_36_ICN,Sites (Temperature Specific)
36_Exposed,36_AF,condition_36_Exposed_vs_36_AF.txt,condition_36_Exposed_vs_36_AF,Sites (Temperature Specific)
36_Protected,36_AF,condition_36_Protected_vs_36_AF.txt,condition_36_Protected_vs_36_AF,Sites (Temperature Specific)
36_Protected,36_Exposed,condition_36_Protected_vs_36_Exposed.txt,condition_36_Protected_vs_36_Exposed,Sites (Temperature Specific)