"Category"	"Pseudoaligned"	"Not aligned"
"M_18_3735_KS1-30A_D701-D501_L001_R1_001_val_1"	10612781	8091763
"M_18_3736_KS2-30A_D702-D501_L001_R1_001_val_1"	28087938	22514318
"M_18_3737_KS3-30A_D703-D501_L001_R1_001_val_1"	19111211	14444531
"M_18_3738_KS5-30A_D705-D501_L001_R1_001_val_1"	23336869	15490983
"M_18_3739_KS1-33A_D708-D501_L001_R1_001_val_1"	26125890	12739802
"M_18_3740_KS3-33A_D710-D501_L001_R1_001_val_1"	7187012	6206866
"M_18_3741_KS4-33A_D711-D501_L001_R1_001_val_1"	13359897	9131953
"M_18_3742_KS5-33A_D712-D501_L001_R1_001_val_1"	12878549	10438768
"M_18_3743_KS6-33A_D701-D502_L001_R1_001_val_1"	26874086	16624012
"M_18_3744_KS7-33A_D702-D502_L001_R1_001_val_1"	41304773	21709142
"M_18_3745_KS1-36A_D703-D502_L001_R1_001_val_1"	15676484	12508297
"M_18_3746_KS2-36A_D704-D502_L002_R1_001_val_1"	6921059	8828512
"M_18_3747_KS4-36A_D706-D502_L002_R1_001_val_1"	16594249	11821225
"M_18_3748_KS5-36A_D707-D502_L002_R1_001_val_1"	9497190	7503777
"M_18_3749_KS6-36A_D708-D502_L002_R1_001_val_1"	14814593	7381555
"M_18_3750_S1-E-ST-30B_D710-D502_L002_R1_001_val_1"	9158767	8877587
"M_18_3751_S2-E-ST-30B_D711-D502_L002_R1_001_val_1"	27536550	17794672
"M_18_3752_S3-E-ST-30B_D712-D502_L002_R1_001_val_1"	12077615	10782450
"M_18_3753_S4-E-ST-30B_D701-D503_L002_R1_001_val_1"	10100853	8470884
"M_18_3754_S5-E-ST-30B_D702-D503_L002_R1_001_val_1"	72613489	65475422
"M_18_3755_S6-E-ST-30B_D703-D503_L002_R1_001_val_1"	14378049	13413419
"M_18_3756_S7-E-ST-30B_D704-D503_L002_R1_001_val_1"	18528278	16784226
"M_18_3757_S1-E-ST-33B_D705-D503_L003_R1_001_val_1"	25226752	25870164
"M_18_3758_S2-E-ST-33B_D706-D503_L003_R1_001_val_1"	20319634	19120557
"M_18_3759_S3-E-ST-33B_D707-D503_L003_R1_001_val_1"	16997671	12312136
"M_18_3760_S4-E-ST-33B_D708-D503_L003_R1_001_val_1"	16658987	18027078
"M_18_3761_S5-E-ST-33B_D709-D503_L003_R1_001_val_1"	6840186	6675524
"M_18_3762_S6-E-ST-33B_D710-D503_L003_R1_001_val_1"	16961496	16051962
"M_18_3763_S7-E-ST-33B_D711-D503_L003_R1_001_val_1"	28714280	31664885
"M_18_3764_S1-E-ST-36B_D712-D503_L003_R1_001_val_1"	6655380	10914397
"M_18_3765_S2-E-ST-36B_D701-D504_L003_R1_001_val_1"	21768649	28936975
"M_18_3766_S3-E-ST-36B_D702-D504_L003_R1_001_val_1"	18066888	12889216
"M_18_3767_S4-E-ST-36B_D703-D504_L003_R1_001_val_1"	9530548	9310794
"M_18_3768_S5-E-ST-36B_D704-D504_L004_R1_001_val_1"	20711356	28153612
"M_18_3769_S6-E-ST-36B_D705-D504_L004_R1_001_val_1"	9778627	9375157
"M_18_3770_S7-E-ST-36B_D706-D504_L004_R1_001_val_1"	15509469	15733998
"M_18_3771_S1-P-ST-30B_D707-D504_L004_R1_001_val_1"	14811270	15353596
"M_18_3772_S2-P-ST-30B_D708-D504_L004_R1_001_val_1"	11517461	12956000
"M_18_3773_S3-P-ST-30B_D709-D504_L004_R1_001_val_1"	22844018	21019157
"M_18_3774_S4-P-ST-30B_D710-D504_L004_R1_001_val_1"	20562676	20732895
"M_18_3775_S6-P-ST-30B_D712-D504_L004_R1_001_val_1"	16591188	11576189
"M_18_3776_S7-P-ST-30B_D701-D505_L004_R1_001_val_1"	19294726	18199525
"M_18_3777_S1-P-ST-33B_D702-D505_L004_R1_001_val_1"	12769785	22023560
"M_18_3778_S2-P-ST-33B_D703-D505_L004_R1_001_val_1"	14094985	16985208
"M_18_3779_S3-P-ST-33B_D704-D505_L005_R1_001_val_1"	23068893	16210570
"M_18_3780_S4-P-ST-33B_D705-D505_L005_R1_001_val_1"	8687665	12577947
"M_18_3781_S5-P-ST-33B_D706-D505_L005_R1_001_val_1"	11078518	18544241
"M_18_3782_S6-P-ST-33B_D707-D505_L005_R1_001_val_1"	24857162	21353774
"M_18_3783_S7-P-ST-33B_D708-D505_L005_R1_001_val_1"	19099796	17805777
"M_18_3784_S1-P-ST-36B_D709-D505_L005_R1_001_val_1"	9949364	9893880
"M_18_3785_S2-P-ST-36B_D710-D505_L005_R1_001_val_1"	23948661	21950435
"M_18_3786_S3-P-ST-36B_D711-D505_L005_R1_001_val_1"	22867986	20175561
"M_18_3787_S5-P-ST-36B_D701-D506_L005_R1_001_val_1"	12845759	12562099
"M_18_3788_S7-P-ST-36B_D703-D506_L005_R1_001_val_1"	21218258	21891752
"M_18_3789_ES1-30A_D704-D506_L005_R1_001_val_1"	5624009	26338131
"M_18_3790_ES2-30A_D705-D506_L006_R1_001_val_1"	7434715	32461948
"M_18_3791_ES4-30A_D707-D506_L006_R1_001_val_1"	8887331	9644318
"M_18_3793_ES1-33A_D711-D506_L006_R1_001_val_1"	3992947	14722123
"M_18_3794_ES4-33A_D702-D507_L006_R1_001_val_1"	12826849	15291680
"M_18_3795_ES5-33A_D703-D507_L006_R1_001_val_1"	5616534	19802761
"M_18_3796_ES6-33A_D704-D507_L006_R1_001_val_1"	5766700	18793786
"M_18_3797_ES7-33A_D705-D507_L006_R1_001_val_1"	6131976	17619558
"M_18_3798_ES2-36A_D707-D507_L006_R1_001_val_1"	8448	15540
"M_18_3801_KS4-30A_D704-D501_L007_R1_001_val_1"	13458364	15376438
"M_18_3802_KS6-30A_D706-D501_L007_R1_001_val_1"	11588698	13218167
"M_18_3803_KS7-30A_D707-D501_L007_R1_001_val_1"	40606172	33376693
"M_18_3804_KS2-33A_D709-D501_L007_R1_001_val_1"	33287	46191
"M_18_3805_KS3-36A_D705-D502_L007_R1_001_val_1"	6629901	8026153
"M_18_3806_KS7-36A_D709-D502_L007_R1_001_val_1"	38245351	45101721
"M_18_3807_S5-P-ST-30B_D711-D504_L007_R1_001_val_1"	35219123	32342407
"M_18_3808_S4-P-ST-36B_D712-D505_L007_R1_001_val_1"	25169448	25005411
"M_18_3809_S6-P-ST-36B_D702-D506_L007_R1_001_val_1"	120	353
"M_18_3810_ES3-30A_D706-D506_L007_R1_001_val_1"	9942679	17697374
"M_18_3811_ES5-30A_D708-D506_L008_R1_001_val_1"	2043712	10304112
"M_18_3812_ES7-30A_D710-D506_L008_R1_001_val_1"	3159318	10756972
"M_18_3813_ES2-33A_D712-D506_L008_R1_001_val_1"	3971361	24764063
"M_18_3814_ES3-33A_D701-D507_L008_R1_001_val_1"	97	315
"M_18_3815_ES1-36A_D706-D507_L008_R1_001_val_1"	3052609	21988642
"M_18_3816_ES3-36A_D708-D507_L008_R1_001_val_1"	2820918	13947853
"M_18_3817_ES4-36A_D709-D507_L008_R1_001_val_1"	3270513	15040590
"M_18_3818_ES5-36A_D710-D507_L008_R1_001_val_1"	31268549	94709935
"M_18_3819_ES6-36A_D711-D507_L008_R1_001_val_1"	5475046	21789962
"M_18_3820_ES7-36A_D712-D507_L008_R1_001_val_1"	539079	11137941